domain,label
casaestudio.uy,0
pedldosya.buzz,1
esteestudio.org,0
tallerred.com,0
m3rcad0pago.gq,1
santander-2026.icu,1
mercadolibre.link,1
login-mercadolibre.icu,1
b4ncorepublic4.gq,1
lagoeste.io,0
miheritageebrou.io,1
confirmar-prex.net,1
aguasur.com.uy,0
casabosque.net,0
itau-uruguay.net,1
lago-verde.com.uy,0
santander.top,1
torre-luna.com,0
brou-cuenta-datos.cf,1
sursur.com.uy,0
redeste.org,0
campo-mar.io,0
alerta-bandes-bloqueo.cam,1
cocinaeste.uy,0
secure.itau.secure-login.tk,1
calle-plaza.io,0
centrococina.com,0
calle-puente.org,0
secure.prex.update-info.buzz,1
florbosque.com.uy,0
solartaller.uy,0
santander-validacion-2025.cf,1
movistar-uy.io,1
dgi-inmediato-2024.icu,1
verde-verde.com,0
florarbol.com,0
secure.bancorepublica.portal-seguro.gq,1
centrocampo.io,0
alerta-oca-seguro.buzz,1
homebanking.claro.portal-seguro.org,1
pedidosya.net,1
estudiofuego.com.uy,0
cocinaestudio.com.uy,0
tallertierra.com,0
bancorepublica2026restablecer.buzz,1
validacionabitab.bid,1
oesteplaza.io,0
plaza-agua.io,0
cerrofuego.uy,0
puente-puente.com,0
vallenorte.com.uy,0
arbolmar.com.uy,0
bandes-alerta.com,1
taller-tienda.net,0
oca2026actualizacion.net,1
luna-puente.uy,0
tienda-cerro.com,0
itau-uruguay.pw,1
oca2024restablecer.site,1
surnube.io,0
oca2025.xyz,1
heritage.click,1
hsbc.com.uy.centro-ayuda.xyz,1
tierra-calle.com.uy,0
costa-calle.uy,0
cancelado-gub.icu,1
tierramonte.com,0
homebanking.pedidosya.update-info.com,1
grupocosta.com.uy,0
mibpsmovil.click,1
abitab2024restablecer.icu,1
bps2024confirmar.club,1
b4nc0republica.gq,1
aguapuente.com,0
oeste-luna.com.uy,0
verificar-heritage-2024.win,1
red-playa.io,0
secure.pedidosya.centro-ayuda.ml,1
cocinacerro.uy,0
tallertienda.com,0
5cotiabank.gq,1
secure.heritage.acceso-rapido.xyz,1
campotorre.uy,0
oestegrupo.uy,0
nortecosta.org,0
redred.org,0
barestudio.com.uy,0
cocina-luna.org,0
mercadopago-ebanking.top,1
este-flor.com,0
bbv4.xyz,1
casacalle.uy,0
scot1ab4nk.gq,1
validarscotiabank.cc,1
monte-piedra.net,0
mimercadopagoonline.xyz,1
abitab2026.tk,1
bancorepublica-2024-validacion.club,1
secure.mercadopago.auth-service.cf,1
actualizar-bandes-2026.icu,1
tienda-estudio.net,0
ant3l.top,1
tallergrupo.uy,0
montecafe.io,0
grupo-fuego.io,0
www.redpagos.com.uy.account-check.com,1
jardin-cerro.io,0
centro-luna.com,0
sur-casa.io,0
